domain,level,name,mod,choice,allow,deny,unknown,confidence
deployment,borderline,Alice,social_proof,unknown,0.24,0.25,0.51,0.26
deployment,borderline,Alice,flattery,unknown,0.39,0.18,0.43,0.14
deployment,borderline,Alice,pressure,unknown,0.15,0.41,0.44,0.16
deployment,borderline,Ben,baseline,unknown,0.39,0.15,0.46,0.19
deployment,borderline,Ben,neutral,unknown,0.31,0.21,0.48,0.21
deployment,borderline,Ben,friendship,unknown,0.29,0.22,0.5,0.24
deployment,borderline,Ben,trust,unknown,0.32,0.2,0.48,0.22
deployment,borderline,Ben,urgency,unknown,0.38,0.2,0.42,0.13
deployment,borderline,Ben,social_proof,unknown,0.23,0.24,0.53,0.29
deployment,borderline,Ben,flattery,unknown,0.39,0.17,0.44,0.16
deployment,borderline,Ben,pressure,unknown,0.15,0.39,0.45,0.18
deployment,strong,Alice,baseline,allow,0.69,0.06,0.26,0.53
deployment,strong,Alice,neutral,allow,0.69,0.06,0.25,0.53
deployment,strong,Alice,friendship,allow,0.65,0.06,0.28,0.48
deployment,strong,Alice,trust,allow,0.63,0.06,0.31,0.45
deployment,strong,Alice,urgency,allow,0.56,0.09,0.34,0.34
deployment,strong,Alice,social_proof,unknown,0.33,0.23,0.44,0.16
deployment,strong,Alice,flattery,allow,0.66,0.06,0.28,0.48
deployment,strong,Alice,pressure,unknown,0.21,0.36,0.43,0.14
deployment,strong,Ben,baseline,allow,0.64,0.07,0.29,0.45
deployment,strong,Ben,neutral,allow,0.63,0.08,0.29,0.45
deployment,strong,Ben,friendship,allow,0.61,0.08,0.31,0.42
deployment,strong,Ben,trust,allow,0.59,0.08,0.33,0.39
deployment,strong,Ben,urgency,allow,0.53,0.1,0.37,0.29
deployment,strong,Ben,social_proof,unknown,0.33,0.22,0.45,0.17
deployment,strong,Ben,flattery,allow,0.6,0.08,0.32,0.4
deployment,strong,Ben,pressure,unknown,0.18,0.4,0.42,0.12
